Title,Company,High,Low,Price,Volume,Change,,% Change
AABA,Altaba Inc,70.96,70.14,70.56,"1,272,326",1.04,,1.50,
AAL,American Airlines Gp,52.50,51.83,52.33,"362,445",0.29,,0.56,
AAME,Atlantic Amer Cp,3.450,3.220,3.450,700,0.150,,4.55,
AAOI,Applied Optoelect,24.73,24.10,24.39,"108,906",0.10,,0.41,
AAON,Aaon Inc,36.30,35.65,35.80,"20,280",-0.05,,0.14,
AAPL,Apple Inc,173.6,172.1,172.8,"5,843,345",1.2,,0.68,
AAWW,Atlas Air Ww,61.60,60.62,61.25,"16,449",0.05,,0.08,
AAXJ,Ishares Aca X-Japan ETF,77.27,76.98,77.23,"58,921",0.37,,0.48,
AAXN,Axon Inc,42.64,42.10,42.49,"116,038",0.51,,1.21,
ABAC,Aoxin Tianli Grp,2.390,2.210,2.310,"21,900",0.010,,0.43,
ABAX,Abaxis Inc,70.68,69.82,70.34,"12,312",0.17,,0.24,
ABCB,Ameris Bancorp,53.95,53.60,53.60,"10,519",0.00,,0.00,
ABCD,Cambium Learning Grp,11.76,11.26,11.35,"89,587",0.02,,0.18,
ABDC,Alcentra Capital Com,7.210,7.120,7.150,"9,887",0.020,,0.28,
ABEO,Abeona Therapeutics,15.20,14.70,14.75,"87,087",-0.40,,2.64,
ABEOW,Abeona Thera Wts,9.265,9.265,9.265,300,-0.505,,5.17,
ABIL,Ability Inc,2.700,2.530,2.650,"2,134",-0.050,,1.85,
ABIO,Arca Biopharma Inc,0.5300,0.4900,0.5000,"109,820",0.0050,,1.01,
ABLX,Ablynx Nv,54.60,54.49,54.49,"4,815",-0.16,,0.29,
ABMD,Abiomed Inc,293.6,290.3,292.9,"52,836",4.4,,1.51,
ABTX,Allegiance Banc CS,40.65,39.65,39.65,"1,091",-0.75,,1.86,
ABUS,Arbutus Biopharma Cp,5.200,5.000,5.100,"101,107",-0.050,,0.97,
ACAD,Acadia Pharmaceutica,22.48,21.97,22.16,"110,703",-0.18,,0.81,
ACBI,Atlantic Capital,18.85,18.65,18.85,"8,205",0.10,,0.53,
ACER,Acer Therapeutics Inc,18.56,18.56,18.56,105,0.17,,0.92,
ACERW,Acer Therapeutics Inc WT,0.0031,0.0029,0.0030,"10,201",-0.0002,,6.25,
ACET,Aceto Cp,7.400,7.190,7.380,"23,589",0.240,,3.36,
ACFC,Atlantic Coast Finl,10.70,10.45,10.47,684,0.03,,0.29,
ACGL,Arch Capital Grp Ltd,86.64,86.00,86.64,"43,184",0.12,,0.14,
ACGLO,Arch Capital Group Ltd ADR,24.33,24.29,24.33,610,-0.04,,0.16,
ACGLP,Arch Capital Group Ltd,24.14,24.06,24.13,"1,501",-0.02,,0.08,
ACHC,Acadia Healthcr Co,40.60,39.79,40.57,"35,977",0.57,,1.43,
ACHN,Achillion Pharmaceut,3.580,3.460,3.490,"284,414",-0.060,,1.69,
ACHV,Achieve Life Sciences Inc,1.300,1.270,1.270,"7,775",-0.010,,0.78,
ACIA,Acacia Communica,36.27,35.62,36.00,"68,165",0.18,,0.50,
ACIU,AC Immune S.A.,11.24,10.80,10.80,"21,459",0.00,,0.00,
ACIW,Aci Worldwide Inc,24.08,23.85,24.03,"27,953",0.22,,0.92,
ACLS,Axcelis Tech Inc,24.35,23.85,24.00,"70,722",-0.05,,0.21,
ACMR,Acm Research Inc,12.50,12.26,12.26,"2,807",-0.04,,0.33,
ACNB,Acnb Corp,29.40,29.40,29.40,338,0.10,,0.34,
ACOR,Acorda Therapeutics,24.09,23.15,23.15,"25,917",-0.55,,2.32,
ACRS,Aclaris Therapts,17.02,16.60,16.77,"19,091",0.19,,1.15,
ACRX,Acelrx Pharmaceutica,2.220,2.150,2.150,"48,011",0.000,,0.00,
ACSF,American Capital Sen,11.22,11.20,11.22,"2,910",0.02,,0.21,
ACST,Acasti Pharma,1.149,1.099,1.149,"30,168",0.049,,4.45,
ACT,Advisorshares Vice ETF,25.51,25.08,25.13,666,-0.05,,0.18,
ACTG,Acacia Res-Acacia,3.550,3.450,3.450,"35,867",0.050,,1.47,
ACWI,Ishares ACWI ETF,72.00,71.77,71.95,"226,322",0.44,,0.62,
ACWX,Ishares ACWI Ex-US ETF,49.81,49.67,49.80,"169,967",0.31,,0.63,
ACXM,Acxiom Cp,24.09,23.00,24.01,"745,726",0.71,,3.05,
ADAP,Adaptimmune Ther Ads,11.50,10.90,10.92,"62,574",-0.31,,2.76,
ADBE,Adobe Systems Inc,228.8,223.9,223.9,"1,150,167",-1.2,,0.51,
ADES,Advanced Emissions Solutions Inc,11.21,11.01,11.08,"9,123",-0.10,,0.89,
ADI,Analog Devices,92.45,91.06,91.40,"265,254",0.16,,0.18,
ADMA,Adma Biologics,5.130,5.000,5.130,"15,396",0.160,,3.22,
ADMP,Adamis Pharmaceuticl,3.440,3.250,3.370,"105,262",-0.030,,0.88,
ADMS,Adamas Pharma,25.65,24.68,24.76,"39,355",-0.64,,2.52,
ADOM,Adomani Inc,1.0399,0.9701,0.9701,"38,326",-0.0199,,2.01,
ADP,Automatic Data Procs,117.8,116.9,117.6,"233,248",0.9,,0.75,
ADRA,Bldrs Asia 50 Fd,34.09,34.09,34.09,250,0.87,,2.62,
ADRD,Bldrs Dev Mkts 100,23.04,23.01,23.04,358,0.21,,0.92,
ADRE,Bldrs EM Mkts 50,44.27,44.27,44.27,581,0.87,,2.00,
ADRO,Aduro Biotech,9.000,8.650,8.750,"52,624",-0.100,,1.13,
ADRU,Bldrs EUR 100 Fd,22.15,21.80,22.15,300,0.09,,0.41,
ADSK,Autodesk Inc,129.0,127.8,128.8,"230,803",1.3,,1.01,
ADTN,Adtran Inc,15.15,15.02,15.07,"22,150",-0.03,,0.20,
ADUS,Addus Homecare Corpo,52.75,52.00,52.57,"3,709",0.97,,1.88,
ADVM,Adverum Biotechnlgs,5.920,5.750,5.820,"55,028",0.070,,1.22,
ADXS,Advaxis Inc,1.780,1.720,1.740,"73,300",-0.020,,1.14,
ADXSW,Advaxis Inc Wts,0.3500,0.3500,0.3500,590,0.0000,,0.00,
AEGN,Aegion Corp,23.45,23.24,23.43,"8,326",0.42,,1.83,
AEHR,Aehr Test Systems,2.400,2.300,2.300,"27,265",-0.080,,3.36,
AEIS,Advanced Energy,63.87,63.10,63.39,"33,733",0.42,,0.67,
AEMD,Aethlon Medical,1.430,1.360,1.400,"36,971",-0.030,,2.10,
AERI,Aerie Pharmaceutical,52.25,51.75,52.00,"12,115",-0.10,,0.19,
AETI,American Electric Te,0.9400,0.8600,0.9000,"15,175",0.0000,,0.00,
AEY,Addvantage Techs Grp,1.290,1.290,1.290,100,0.010,,0.78,
AEZS,Aeterna Zentaris,1.280,1.240,1.280,"44,922",0.020,,1.59,
AFAM,Almost Family Inc,56.40,54.15,56.00,"582,200",1.05,,1.91,
AFH,Atlas Fincl Hld Ord,10.70,10.55,10.70,"5,419",0.20,,1.90,
AFHBL,Atlas Financial Holdings Inc 6.625%,24.85,24.85,24.85,100,0.00,,0.00,
AFMD,Affimed N.V.,2.250,2.150,2.150,"47,997",-0.125,,5.49,
AFSI,Amtrust Financial,12.51,12.35,12.42,"45,779",-0.05,,0.40,
