Company,Title,Price,Volume,High,Low
AAC Holdings,AAC,11.48,"542,230",12.34,10.99
AAM S&P; EM Hi Div Value,EEMD,26.44,290,26.55,26.44
AAM S&P; 500 Hi Div Value,SPDV,25.97,"36,718",26.05,25.43
AAR Corp,AIR,44.11,"1,248,024",44.80,42.26
Aaron's Inc,AAN,46.60,"2,071,006",47.05,45.12
ABB ADR,ABB,23.74,"8,653,794",23.87,23.08
Abbott Laboratories,ABT,59.92,"26,539,292",61.62,59.17
AbbVie,ABBV,94.65,"42,942,880",99.91,91.12
Abercrombie&Fitch;,ANF,24.21,"8,906,086",24.42,23.31
Aberdeen Greater China Fd,GCH,13.48,"59,055",13.48,12.85
Aberdeen Incm Crd Strat,ACP,13.77,"259,139",13.86,13.71
Aberdeen Japan Equity Fd,JEQ,9.16,"71,275",9.17,8.85
Aberdeen Singapore Fund,SGF,13.26,"62,684",13.35,12.92
ABM Industries,ABM,33.48,"4,667,676",33.86,32.60
Acadia Realty Trust,AKR,24.60,"2,084,405",25.01,23.77
Accenture Cl A,ACN,153.50,"13,927,198",153.66,147.34
ACCO Brands,ACCO,12.55,"2,216,446",12.75,12.18
Acorn International ADR,ATV,19.62,"4,402",19.93,18.71
Actuant Cl A,ATU,23.25,"3,272,776",23.50,22.45
Acuity Brands,AYI,139.19,"2,433,016",140.90,133.83
Acushnet Holdings,GOLF,23.09,"845,289",23.70,22.89
Adams Divers Equity Fd,ADX,14.77,"1,254,469",14.93,14.53
Adams Natural Rscs Fd,PEO,18.21,"448,307",18.46,17.86
Adecoagro,AGRO,7.52,"3,156,787",7.89,7.24
Adient,ADNT,59.76,"2,681,860",60.13,57.73
Adtalem Global Education,ATGE,47.55,"1,431,962",48.35,46.40
ADT,ADT,7.93,"14,515,837",8.25,7.51
Advance Auto Parts,AAP,118.55,"4,220,110",119.42,111.88
Advanced Disposal Svcs,ADSW,22.28,"1,409,970",22.39,21.75
Advanced Drainage Systems,WMS,25.90,"941,096",26.15,25.10
Adv Semiconductor ADR,ASX,7.26,"5,239,322",7.41,7.14
AdvanSix,ASIX,34.78,"1,022,171",35.08,33.15
Advantage Oil&Gas;,AAV,2.95,"850,300",3.25,2.81
AdvntClymrFd,AVK,15.08,"313,373",15.32,14.95
AdvntClymr Convertible II,AGC,5.60,"1,279,297",5.63,5.44
Advnt Clymr Enh Grth,LCM,7.92,"235,688",8.06,7.81
AdvisorShr Cornerstone SC,SCAP,33.48,102,33.48,33.48
Advisor Dorsey Wright ADR,AADR,58.74,"125,927",59.45,57.12
AdvisorShs Focused Equity,CWS,30.63,"6,345",30.89,30.45
AdvisorShares KIM Korea,KOR,30.50,405,30.50,30.48
AdvisorShares Newfleet,MINC,48.04,"45,738",48.10,47.95
AdvisorShares New Tech,FNG,20.77,"193,646",22.18,20.30
AdvisorSh Pac Asst Enh FR,FLRT,49.12,898,49.17,49.12
AdvisorShs Peritus Hi Yd,HYLD,36.64,"92,261",36.81,36.33
AdvsrShs Ranger Eqty Bear,HDGE,8.26,"1,298,792",8.38,8.21
AdvisorShares Sage Core,HOLD,99.04,"1,814",99.04,99.04
AdvisorShares STAR Gl BW,VEGA,30.57,"1,136",30.57,30.57
Advisor Wilshire Buyback,TTFS,68.48,"21,982",68.72,67.39
AECOM,ACM,35.63,"2,581,725",35.84,34.52
Aegean Marine Petroleum,ANW,2.25,"5,747,884",2.60,1.75
AEGON 6.2996% Fltg Perp.,AEB,24.95,"44,218",24.98,24.38
AEGON 6.375% Perp Cp Secs,AEH,25.84,"212,418",26.09,25.60
AEGON 6.5% Perp Cap Secs,AED,26.22,"84,853",26.33,26.05
AEGON 8% Notes,AEK,26.51,"97,358",26.79,26.40
Aegon ADR,AEG,6.77,"7,239,695",6.80,6.61
AerCap Holdings,AER,50.72,"4,586,075",50.80,49.65
Aerohive Networks,HIVE,4.04,"1,163,431",4.20,3.82
Aerojet Rocketdyne,AJRD,27.97,"2,151,079",28.32,26.75
AES,AES,11.37,"33,705,777",11.43,10.65
Aetna,AET,169.00,"7,699,438",171.00,168.01
Affiliated Managers,AMG,189.58,"1,325,366",190.82,182.51
Aflac,AFL,43.76,"18,993,678",44.23,43.16
AGCO,AGCO,64.85,"2,957,648",65.22,62.28
AGFiQ Hedged Div Incm Fd,DIVA,23.51,461,23.51,23.49
AGFiQ US Neut Anti-Beta,BTAL,19.38,"14,237",19.40,18.95
AGFiQ US Mkt Neutral Mom,MOM,25.36,"11,274",25.63,25.23
AGFiQ US Mkt Neutr Value,CHEP,24.33,"1,858",24.33,24.33
Agilent Technologies,A,66.90,"9,231,586",68.63,65.81
AG Mortgage Invt Trust,MITT,17.37,"553,914",17.62,17.04
AG Mortgage Inv Tr Pfd. B,MITT.PB,25.07,"25,955",25.10,24.86
AG Mortgage 8.25% Pfd. A,MITT.PA,25.38,"6,335",25.65,25.17
Agnico-Eagle Mines,AEM,42.07,"5,573,818",42.46,41.05
Agree Realty,ADC,48.04,"1,125,556",48.61,46.27
AH Belo A,AHC,5.15,"110,578",5.25,5.04
AI Powered Equity ETF,AIEQ,26.06,"187,746",26.45,25.53
Aircastle,AYR,19.86,"2,400,573",20.24,19.50
Air Lease,AL,42.62,"2,186,580",43.01,41.62
Air Products&Chemicals;,APD,159.03,"3,767,607",161.84,157.15
AK Steel,AKS,4.53,"54,075,085",4.62,4.26
Alabama Pwr 5% Pfd. A,ALP.PQ,25.38,"87,919",25.57,25.23
Alamo Group,ALG,109.90,"254,059",114.24,109.34
Alamos Gold,AGI,5.21,"11,456,967",5.46,5.06
Alaska Air Group,ALK,61.96,"7,584,031",62.59,61.20
Albany Intl,AIN,62.70,"406,992",64.50,61.60
Albemarle,ALB,92.74,"8,430,404",95.75,89.28
Alcoa,AA,44.96,"13,280,821",46.53,43.69
Alerian Engy Infr,ENFR,19.89,"32,131",19.96,19.47
Alerian MLP ETF,AMLP,9.37,"105,225,887",9.46,9.01
Alexander's Inc.,ALX,381.23,"38,167",387.74,372.01
Alexander&Baldwin;,ALEX,23.13,"1,469,762",23.40,22.77
Alexandria Real Estate,ARE,124.89,"2,760,654",125.07,118.76
Alexandria RE 7.00% Pfd D,ARE.PD,35.93,"84,694",36.38,35.49
Algonquin Power,AQN,9.92,"712,203",10.02,9.80
Alibaba Group Holding ADR,BABA,183.54,"69,673,580",192.25,177.57
Alleghany Corp.,Y,614.44,"329,738",622.00,580.10
Allegheny Technologies,ATI,23.68,"8,785,084",24.00,22.70
Allegion,ALLE,85.29,"3,075,209",86.00,82.91
Allergan,AGN,168.29,"12,027,873",169.70,155.70
Allete,ALE,72.25,"1,062,500",72.80,70.13
AllianceBernstein Glbl,AWF,11.89,"777,518",11.91,11.82
AllianceBernstein,AB,26.85,"1,181,600",26.95,25.80
AllianceBrnstn NtlMun,AFB,12.51,"375,336",12.53,12.39
Alliance CA Municipal,AKP,12.71,"226,191",12.74,12.60
Alliance Data Systems,ADS,212.86,"4,422,977",224.12,205.61
Alliance One Intl,AOI,26.05,"1,223,445",26.65,22.65
Alliant Energy,LNT,40.86,"6,454,293",41.04,39.43
AllianzGI Conv&Incm;,NCV,6.72,"1,154,137",6.82,6.62
AllianzGI Conv&Incm; II,NCZ,5.95,"1,291,615",6.02,5.81
AllianzGI Conv&Inc; 2024,CBH,9.22,"162,958",9.35,9.19
AllianzGI Div Incm,ACV,22.67,"188,914",22.67,21.77
AllianzGI Equity&Conv;,NIE,20.69,"401,554",21.10,20.36
AllnzGI NFJ Div Interest,NFJ,12.70,"1,241,145",12.77,12.45
Allied Cap 6.875% Nts 47,AFC,25.42,"34,669",25.68,25.27
Allison Transmission,ALSN,39.06,"6,226,665",39.41,37.77
Allstate,ALL,94.80,"7,713,391",95.90,92.87
