Season,Team,Ranking,Other,GP,PPG,PPG Allow,PPG Diff,PTS OFF TO,PTS in Paint,SEC Chance PTS,FG%,FG% Allow,3FG%,3FG% Allow,FT%,FT% Allow,PPS,PTS/POSS
2016-17,Golden State,1,"1

Golden State
GS",82,115.9,104.3,11.6,1588,3826,1036,.495,.435,.383,.324,.788,.761,1.33,1.15
2016-17,Houston,2,"2

Houston
HOU",82,115.3,109.6,5.7,1529,3836,1172,.462,.463,.357,.343,.766,.778,1.32,1.14
2016-17,Denver,3,"3

Denver
DEN",82,111.7,111.2,0.5,1153,4092,1236,.469,.477,.368,.375,.774,.782,1.27,1.13
2016-17,Cleveland,4,"4

Cleveland
CLE",82,110.3,107.2,3.1,1207,3246,946,.470,.458,.384,.361,.748,.773,1.30,1.13
2016-17,Washington,5,"5

Washington
WSH",82,109.2,107.4,1.8,1451,3700,1066,.475,.466,.372,.364,.784,.751,1.25,1.11
2016-17,Los Angeles,6,"6

Los Angeles
LAC",82,108.7,104.4,4.3,1256,3280,931,.475,.452,.375,.350,.745,.772,1.31,1.12
2016-17,Boston,7,"7

Boston
BOS",82,108.0,105.4,2.6,1340,3428,914,.454,.450,.359,.332,.807,.769,1.27,1.11
2016-17,Portland,8,"8

Portland
POR",82,107.9,108.5,-0.6,1204,3486,1036,.459,.455,.375,.370,.780,.785,1.25,1.10
2016-17,Phoenix,9,"9

Phoenix
PHX",82,107.7,113.3,-5.6,1452,3902,1218,.450,.467,.332,.382,.776,.783,1.22,1.06
2016-17,Toronto,10,"10

Toronto
TOR",82,106.9,102.6,4.3,1425,3604,1106,.464,.449,.363,.354,.796,.780,1.27,1.12
2016-17,Oklahoma City,11,"11

Oklahoma City
OKC",82,106.6,105.8,0.8,1282,4108,1204,.452,.459,.327,.356,.745,.764,1.22,1.08
2016-17,Brooklyn,12,"12

Brooklyn
BKN",82,105.8,112.5,-6.7,1234,3780,943,.444,.458,.338,.366,.788,.772,1.24,1.04
2016-17,Minnesota,13,"13

Minnesota
MIN",82,105.6,106.7,-1.1,1373,3752,1209,.467,.475,.349,.366,.799,.768,1.25,1.10
2016-17,San Antonio,14,"14

San Antonio
SA",82,105.3,98.1,7.2,1418,3248,1059,.469,.443,.391,.344,.797,.771,1.26,1.11
2016-17,Indiana,15,"15

Indiana
IND",82,105.1,105.3,-0.2,1365,3446,936,.465,.451,.376,.355,.810,.789,1.24,1.08
2016-17,Charlotte,16,"16

Charlotte
CHA",82,104.9,104.7,0.2,1219,3274,966,.442,.456,.351,.369,.815,.776,1.23,1.08
2016-17,Los Angeles,17,"17

Los Angeles
LAL",82,104.6,111.5,-6.9,1424,3922,1111,.450,.483,.346,.370,.754,.762,1.20,1.06
2016-17,New York,18,"18

New York
NY",82,104.3,108.0,-3.7,1180,3322,1222,.447,.455,.348,.348,.788,.771,1.18,1.07
2016-17,New Orleans,18,"18

New Orleans
NO",82,104.3,106.4,-2.1,1198,3618,887,.450,.450,.350,.353,.750,.762,1.20,1.05
2016-17,Milwaukee,20,"20

Milwaukee
MIL",82,103.6,103.8,-0.2,1418,3992,909,.474,.458,.370,.353,.768,.771,1.27,1.09
2016-17,Miami,21,"21

Miami
MIA",82,103.2,102.1,1.1,1303,3724,1110,.455,.450,.365,.343,.706,.782,1.20,1.07
2016-17,Atlanta,21,"21

Atlanta
ATL",82,103.2,104.0,-0.8,1336,3514,1105,.451,.444,.341,.357,.728,.772,1.22,1.05
2016-17,Chicago,23,"23

Chicago
CHI",82,102.9,102.4,0.5,1286,3560,1237,.444,.456,.340,.345,.798,.770,1.18,1.07
