Name,Season,Team,GP,GS,MP,FGM-A,FG%,3PM-A,3P%,FTM-A,FT%,OR,DR,REB,AST,BLK,STL,PF,TO,PTS
LeBron James,'03-'04,CLE,79,79,39.5,7.9-18.9,.417,0.8-2.7,.290,4.4-5.8,.754,1.3,4.2,5.5,5.9,0.7,1.6,1.9,3.5,20.9
LeBron James,'04-'05,CLE,80,80,42.4,9.9-21.1,.472,1.4-3.9,.351,6.0-8.0,.750,1.4,6.0,7.4,7.2,0.7,2.2,1.8,3.3,27.2
LeBron James,'05-'06,CLE,79,79,42.5,11.1-23.1,.480,1.6-4.8,.335,7.6-10.3,.738,1.0,6.1,7.0,6.6,0.8,1.6,2.3,3.3,31.4
LeBron James,'06-'07,CLE,78,78,40.9,9.9-20.8,.476,1.3-4.0,.319,6.3-9.0,.698,1.1,5.7,6.7,6.0,0.7,1.6,2.2,3.2,27.3
LeBron James,'07-'08,CLE,75,74,40.4,10.6-21.9,.484,1.5-4.8,.315,7.3-10.3,.712,1.8,6.1,7.9,7.2,1.1,1.8,2.2,3.4,30.0
LeBron James,'08-'09,CLE,81,81,37.7,9.7-19.9,.489,1.6-4.7,.344,7.3-9.4,.780,1.3,6.3,7.6,7.2,1.1,1.7,1.7,3.0,28.4
LeBron James,'09-'10,CLE,76,76,39.0,10.1-20.1,.503,1.7-5.1,.333,7.8-10.2,.767,0.9,6.4,7.3,8.6,1.0,1.6,1.6,3.4,29.7
LeBron James,'10-'11,MIA,79,79,38.8,9.6-18.8,.510,1.2-3.5,.330,6.4-8.4,.759,1.0,6.5,7.5,7.0,0.6,1.6,2.1,3.6,26.7
LeBron James,'11-'12,MIA,62,62,37.5,10.0-18.9,.531,0.9-2.4,.362,6.2-8.1,.771,1.5,6.4,7.9,6.2,0.8,1.9,1.5,3.4,27.1
LeBron James,'12-'13,MIA,76,76,37.9,10.1-17.8,.565,1.4-3.3,.406,5.3-7.0,.753,1.3,6.8,8.0,7.3,0.9,1.7,1.4,3.0,26.8
LeBron James,'13-'14,MIA,77,77,37.7,10.0-17.6,.567,1.5-4.0,.379,5.7-7.6,.750,1.1,5.9,6.9,6.3,0.3,1.6,1.6,3.5,27.1
LeBron James,'14-'15,CLE,69,69,36.1,9.0-18.5,.488,1.7-4.9,.354,5.4-7.7,.710,0.7,5.3,6.0,7.4,0.7,1.6,2.0,3.9,25.3
LeBron James,'15-'16,CLE,76,76,35.6,9.7-18.6,.520,1.1-3.7,.309,4.7-6.5,.731,1.5,6.0,7.4,6.8,0.6,1.4,1.9,3.3,25.3
LeBron James,'16-'17,CLE,74,74,37.8,9.9-18.2,.548,1.7-4.6,.363,4.8-7.2,.674,1.3,7.3,8.6,8.7,0.6,1.2,1.8,4.1,26.4
LeBron James,'17-'18,CLE,71,71,37.2,10.5-19.3,.545,1.8-4.9,.369,4.6-6.3,.725,1.2,7.5,8.6,9.1,1.0,1.5,1.7,4.3,27.4
Kevin Durant,'07-'08,SEA,80,80,34.6,7.3-17.1,.430,0.7-2.6,.288,4.9-5.6,.873,0.9,3.5,4.4,2.4,0.9,1.0,1.5,2.9,20.3
Kevin Durant,'08-'09,OKC,74,74,39.0,8.9-18.8,.476,1.3-3.1,.422,6.1-7.1,.863,1.0,5.5,6.5,2.8,0.7,1.3,1.8,3.0,25.3
Kevin Durant,'09-'10,OKC,82,82,39.5,9.7-20.3,.476,1.6-4.3,.365,9.2-10.2,.900,1.3,6.3,7.6,2.8,1.0,1.4,2.1,3.3,30.1
Kevin Durant,'10-'11,OKC,78,78,38.9,9.1-19.7,.462,1.9-5.3,.350,7.6-8.7,.880,0.7,6.1,6.8,2.7,1.0,1.1,2.0,2.8,27.7
Kevin Durant,'11-'12,OKC,66,66,38.6,9.7-19.7,.496,2.0-5.2,.387,6.5-7.6,.860,0.6,7.4,8.0,3.5,1.2,1.3,2.0,3.8,28.0
Kevin Durant,'12-'13,OKC,81,81,38.5,9.0-17.7,.510,1.7-4.1,.416,8.4-9.3,.905,0.6,7.3,7.9,4.6,1.3,1.4,1.8,3.5,28.1
Kevin Durant,'13-'14,OKC,81,81,38.5,10.5-20.8,.503,2.4-6.1,.391,8.7-9.9,.873,0.7,6.7,7.4,5.5,0.7,1.3,2.1,3.5,32.0
Kevin Durant,'14-'15,OKC,27,27,33.8,8.8-17.3,.510,2.4-5.9,.403,5.4-6.3,.854,0.6,6.0,6.6,4.1,0.9,0.9,1.5,2.7,25.4
Kevin Durant,'15-'16,OKC,72,72,35.8,9.7-19.2,.505,2.6-6.7,.386,6.2-6.9,.898,0.6,7.6,8.2,5.0,1.2,1.0,1.9,3.5,28.2
Kevin Durant,'16-'17,GS,62,62,33.4,8.9-16.5,.537,1.9-5.0,.375,5.4-6.2,.875,0.6,7.7,8.3,4.8,1.6,1.1,1.9,2.2,25.1
Kevin Durant,'17-'18,GS,60,60,34.7,9.4-18.0,.520,2.6-6.1,.430,5.2-5.9,.887,0.5,6.3,6.8,5.4,1.9,0.8,2.0,3.1,26.6
James Harden,'09-'10,OKC,76,0,22.9,3.1-7.6,.403,1.2-3.3,.375,2.6-3.2,.808,0.6,2.6,3.2,1.8,0.3,1.1,2.6,1.4,9.9
James Harden,'10-'11,OKC,82,5,26.7,3.6-8.3,.436,1.4-4.0,.349,3.5-4.2,.843,0.5,2.6,3.1,2.1,0.3,1.1,2.5,1.3,12.2
James Harden,'11-'12,OKC,62,2,31.4,5.0-10.1,.491,1.8-4.7,.390,5.0-6.0,.846,0.5,3.6,4.1,3.7,0.2,1.0,2.4,2.2,16.8
James Harden,'12-'13,HOU,78,78,38.3,7.5-17.1,.438,2.3-6.2,.368,8.6-10.2,.851,0.8,4.1,4.9,5.8,0.5,1.8,2.3,3.8,25.9
James Harden,'13-'14,HOU,73,73,38.0,7.5-16.5,.456,2.4-6.6,.366,7.9-9.1,.866,0.8,3.9,4.7,6.1,0.4,1.6,2.4,3.6,25.4
James Harden,'14-'15,HOU,81,81,36.8,8.0-18.1,.440,2.6-6.9,.375,8.8-10.2,.868,0.9,4.7,5.7,7.0,0.7,1.9,2.6,4.0,27.4
James Harden,'15-'16,HOU,82,82,38.1,8.7-19.7,.439,2.9-8.0,.359,8.8-10.2,.860,0.8,5.3,6.1,7.5,0.6,1.7,2.8,4.6,29.0
James Harden,'16-'17,HOU,81,81,36.4,8.3-18.9,.440,3.2-9.3,.347,9.2-10.9,.847,1.2,7.0,8.1,11.2,0.5,1.5,2.7,5.7,29.1
James Harden,'17-'18,HOU,63,63,35.6,9.2-20.4,.452,3.9-10.4,.375,8.8-10.1,.867,0.6,4.7,5.2,8.7,0.7,1.8,2.4,4.3,31.2
Russell Westbrook,'08-'09,OKC,82,64,32.5,5.3-13.4,.398,0.4-1.6,.271,4.3-5.2,.815,2.2,2.7,4.9,5.3,0.2,1.3,2.3,3.3,15.3
Russell Westbrook,'09-'10,OKC,82,82,34.3,5.9-14.1,.418,0.3-1.3,.221,4.0-5.1,.780,1.7,3.2,4.9,8.0,0.4,1.3,2.5,3.3,16.1
Russell Westbrook,'10-'11,OKC,82,82,34.7,7.5-17.0,.442,0.4-1.3,.330,6.5-7.7,.842,1.5,3.2,4.6,8.2,0.4,1.9,2.5,3.9,21.9
Russell Westbrook,'11-'12,OKC,66,66,35.3,8.8-19.2,.457,0.9-3.0,.316,5.2-6.3,.823,1.5,3.1,4.6,5.5,0.3,1.7,2.2,3.6,23.6
Russell Westbrook,'12-'13,OKC,82,82,34.9,8.2-18.7,.438,1.2-3.7,.323,5.6-7.0,.800,1.4,3.9,5.2,7.4,0.3,1.8,2.3,3.3,23.2
Russell Westbrook,'13-'14,OKC,46,46,30.7,7.5-17.2,.437,1.5-4.7,.318,5.3-6.4,.826,1.2,4.5,5.7,6.9,0.2,1.9,2.3,3.8,21.8
